Symbol,Entry,Exit,PnL,Return %,Reason
BCRX,10.75,10.21,-753.2999999999993,-5.023255813953476,HARD_STOP
CLSK,37.018499999999996,33.57,-2155.3124999999964,-9.315612464038237,
UCTT,60.28,58.2,-780.0,-3.450564034505632,
CRGY,21.7,21.15,-569.25,-2.5345622119815725,
AMC,177.6,265.2,3504.0,49.32432432432432,PARTIAL_PROFIT_3R
BBW,8.25,13.76,4793.699999999999,66.7878787878788,PARTIAL_PROFIT_3R
AMC,224.43333333333334,318.1,0.0,0.0,PYRAMID_ADD
BBW,10.063333333333333,13.69,0.0,0.0,PYRAMID_ADD
AMC,224.43333333333334,528.3913571428571,18237.481428571427,135.43354692240777,HARD_STOP
REPX,40.99911660777385,43.0,0.0,0.0,PYRAMID_ADD
REPX,40.99911660777385,46.55,3141.7999999999993,13.539031695072289,PARTIAL_PROFIT_3R
ASTH,45.36,48.88,788.4800000000014,7.760141093474426,PARTIAL_PROFIT_3R
ASTH,46.43333333333333,48.58,0.0,0.0,PYRAMID_ADD
RVLV,63.53,67.53,0.0,0.0,PYRAMID_ADD
RVLV,63.53,69.49,2360.159999999996,9.381394616716499,PARTIAL_PROFIT_3R
REPX,40.99911660777385,44.27797857142858,1855.835871428575,7.99739661471881,HARD_STOP
BBW,10.063333333333333,13.11,3975.8999999999996,30.274925472010604,HARD_STOP
RVLV,63.53,63.16,-146.52000000000407,-0.5824020147961684,HARD_STOP
ASTH,46.43333333333333,75.81,9870.560000000001,63.26633165829148,HARD_STOP
EPR,54.9,54.35,-336.59999999999127,-1.001821493624766,
AEHR,5.088037235721048,5.44,0.0,0.0,PYRAMID_ADD
AEHR,5.088037235721048,8.03,9323.079999999998,57.82117205480775,PARTIAL_PROFIT_3R
AEHR,5.088037235721048,6.112228571428571,3245.66234285714,20.129399378547987,HARD_STOP
BILL,257.59827067669175,278.25,0.0,0.0,PYRAMID_ADD
BILL,257.59827067669175,274.39,1108.2541353383422,6.518572224571839,PARTIAL_PROFIT_3R
MDB,462.77,489.75,674.5,5.830109989843768,PARTIAL_PROFIT_3R
ATYR,6.3,9.0,5148.9,42.85714285714286,PARTIAL_PROFIT_3R
MDB,476.45,503.81,0.0,0.0,PYRAMID_ADD
ATYR,7.070866666666666,8.6126,0.0,0.0,PYRAMID_ADD
RM,61.0,56.32465425299999,-3048.3254270440084,-7.664501224590181,HARD_STOP
WK,150.43,147.43,-798.0,-1.9942830552416413,
BILL,257.59827067669175,262.3620928571429,319.176086090225,1.849322267551301,HARD_STOP
MDB,476.45,475.18,-49.529999999998836,-0.26655472767341815,HARD_STOP
ATYR,7.070866666666666,8.732857142857144,4756.616742857146,23.504763341464184,HARD_STOP
STGW,9.02,8.6,-1786.6800000000003,-4.6563192904656265,
M,34.97,33.42,-1080.3499999999985,-4.432370603374314,HARD_STOP
CRVL,65.87959000000004,66.6133333333333,419.7011866666289,1.1137642680126847,
CARG,36.6,45.6,5976.0,24.590163934426236,HARD_STOP
AMPH,27.5,28.72,1738.5,4.436363636363638,HARD_STOP
NOG,25.202595,25.15,-82.62674500000139,-0.20868882747987483,HARD_STOP
HDSN,4.43,5.27,2147.039999999999,18.96162528216705,HARD_STOP
KNSL,238.08,230.52642857142857,-1269.0,-3.172703052995396,HARD_STOP
NGVC,22.02,21.34,-1228.760000000002,-3.0881017257039067,
HDSN,8.1,8.838264285714285,2314.4585357142823,9.114373897707218,HARD_STOP
ACHC,77.54,79.91988392857144,1228.0201071428528,3.0692338516526085,HARD_STOP
CWCO,15.12,15.18,44.159999999999854,0.3968253968253954,
BELFB,22.2,23.75,1810.4000000000015,6.981981981981988,HARD_STOP
GNE,9.67,8.74,-3919.9500000000044,-9.617373319544987,
CALM,59.96,58.405678571428574,-1032.0694285714271,-2.5922638902125206,HARD_STOP
ELF,45.31,48.64,932.3999999999996,7.349370999779303,PARTIAL_PROFIT_3R
ELF,46.473895486935874,48.81,0.0,0.0,PYRAMID_ADD
ELF,46.473895486935874,48.63811785714285,911.1376178571372,4.656855956512951,HARD_STOP
TITN,40.2,40.71495,329.5679999999993,1.280970149253724,HARD_STOP
PCG,16.08,15.92,-399.0399999999936,-0.995024875621886,
VKTX,5.45,6.7977,2835.5607999999993,24.72844036697246,HARD_STOP
ELF,57.95,55.5,-1719.9000000000015,-4.227782571182059,
VRDN,30.02,33.76,1447.3799999999992,12.45836109260492,HARD_STOP
WYNN,102.22,99.42,-1111.5999999999985,-2.7391899823909216,HARD_STOP
INTA,32.06475908706678,34.63,0.0,0.0,PYRAMID_ADD
INTA,32.06475908706678,35.6,2089.3273795435343,11.02531568484213,PARTIAL_PROFIT_3R
ATEC,13.84,13.79,-148.50000000000728,-0.36127167630057855,
ZEUS,49.46,46.35,-2624.8399999999965,-6.287909421754955,HARD_STOP
RCEL,10.75,13.17,2995.959999999999,22.511627906976738,PARTIAL_PROFIT_3R
ZETA,9.8,10.92,1520.9599999999991,11.42857142857141,PARTIAL_PROFIT_3R
RCEL,11.522917115177611,13.07,0.0,0.0,PYRAMID_ADD
ZETA,10.163155053974485,10.89,0.0,0.0,PYRAMID_ADD
TMDX,76.4337618147448,79.51,0.0,0.0,PYRAMID_ADD
TMDX,76.4337618147448,81.34,1295.2468809073762,6.418941144289914,PARTIAL_PROFIT_3R
ZETA,10.163155053974485,10.07,-189.85000000000218,-0.916595815765453,HARD_STOP
TGLS,37.0,37.01,11.779999999998836,0.02702702702701565,
HIMS,10.17,9.437616449999998,-3151.4464156500107,-7.201411504424793,HARD_STOP
PTGX,16.97,24.115,5880.335000000001,42.10371243370654,PARTIAL_PROFIT_3R
TMDX,76.4337618147448,76.4337618147448,0.0,0.0,HARD_STOP
INTA,32.06475908706678,39.05829285714286,4140.171991885036,21.81065434200282,HARD_STOP
RCEL,11.522917115177611,13.564223214285715,3792.7467321428558,17.71518512807284,HARD_STOP
PTGX,16.97,23.817844642857143,5635.776141071428,40.35264963380756,HARD_STOP
COCO,21.003363691842896,21.95,0.0,0.0,PYRAMID_ADD
COCO,21.003363691842896,21.67,1103.2830900000117,3.173950220249755,PARTIAL_PROFIT_3R
COCO,21.003363691842896,21.003363691842896,0.0,0.0,HARD_STOP
TCMD,20.759262411347517,21.86,0.0,0.0,PYRAMID_ADD
TCMD,20.759262411347517,21.56,846.3796312056729,3.8572545246828183,PARTIAL_PROFIT_3R
TCMD,20.759262411347517,20.759262411347517,0.0,0.0,HARD_STOP
EVLV,4.685383604568887,5.3,0.0,0.0,PYRAMID_ADD
EVLV,4.685383604568887,5.26,2842.0526918022842,12.264020279380826,PARTIAL_PROFIT_3R
APLD,4.86,7.05,6850.319999999996,45.06172839506171,PARTIAL_PROFIT_3R
APLD,5.493333333333333,6.76,0.0,0.0,PYRAMID_ADD
USD,8.5325,9.6075,2137.0999999999985,12.59888661002051,PARTIAL_PROFIT_3R
ELF,95.7,101.28,987.6599999999999,5.830721003134798,PARTIAL_PROFIT_3R
USD,9.077317298022127,10.1675,0.0,0.0,PYRAMID_ADD
ELF,98.6587924528302,104.61,0.0,0.0,PYRAMID_ADD
AI,35.99333333333333,32.76,0.0,0.0,PYRAMID_ADD
AI,35.99333333333333,32.76,-4539.600000000006,-8.983145026856832,HARD_STOP
INOD,12.07,11.76,-1423.8300000000017,-2.5683512841756406,
APLD,5.493333333333333,7.897664285714285,11281.120828571427,43.76816054091539,HARD_STOP
ORIC,7.29,8.4,2619.5999999999985,15.22633744855968,PARTIAL_PROFIT_3R
ORIC,7.693219429539678,8.5,0.0,0.0,PYRAMID_ADD
ORIC,7.693219429539678,7.693219429539678,0.0,0.0,HARD_STOP
BBIO,17.13,16.72,-1295.1900000000023,-2.393461762988913,HARD_STOP
ACAD,31.17742755765819,33.61,0.0,0.0,PYRAMID_ADD
ACAD,31.17742755765819,32.99,1531.6237137788303,5.813733153544232,PARTIAL_PROFIT_3R
